,Learning_rate,Training_accuracy,Testing_accuracy,Activation,pool
354,0.015384615384615384,97.875,98.73,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'celu']","('avg', 'avg')"
266,0.015384615384615384,97.5498,98.73,"['leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'avg')"
759,0.011764705882352941,97.2934,98.74,"['relu', 'relu', 'relu', 'relu', 'rrelu']","('max', 'max')"
191,0.016666666666666666,96.3126,98.75,"['relu', 'relu', 'relu', 'leaky_relu', 'leaky_relu']","('avg', 'avg')"
441,0.014285714285714284,97.4358,98.76,"['relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('avg', 'avg')"
932,0.011111111111111113,97.2132,98.76,"['relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('avg', 'avg')"
690,0.0125,97.541,98.76,"['relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'avg')"
924,0.011111111111111113,96.9734,98.76,"['relu', 'relu', 'relu', 'leaky_relu', 'celu']","('max', 'avg')"
1021,0.010526315789473684,97.5264,98.77,"['relu', 'relu', 'relu', 'rrelu', 'rrelu']","('avg', 'avg')"
682,0.0125,97.3378,98.77,"['relu', 'relu', 'relu', 'leaky_relu', 'celu']","('max', 'max')"
989,0.010526315789473684,97.0332,98.78,"['relu', 'relu', 'relu', 'relu', 'celu']","('avg', 'avg')"
717,0.0125,97.2668,98.78,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'avg')"
871,0.011111111111111113,97.6022,98.79,"['leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('avg', 'avg')"
198,0.016666666666666666,97.3064,98.79,"['relu', 'relu', 'relu', 'leaky_relu', 'celu']","('max', 'avg')"
569,0.013333333333333334,97.7148,98.81,"['relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'avg')"
384,0.014285714285714284,97.6368,98.81,"['relu', 'relu', 'relu', 'relu', 'celu']","('max', 'avg')"
762,0.011764705882352941,97.2422,98.83,"['relu', 'relu', 'relu', 'relu', 'leaky_relu']","('avg', 'avg')"
154,0.016666666666666666,97.0516,98.83,"['relu', 'relu', 'relu', 'relu', 'rrelu']","('avg', 'avg')"
841,0.011764705882352941,97.7154,98.85,"['relu', 'relu', 'rrelu', 'rrelu', 'rrelu']","('avg', 'avg')"
1008,0.010526315789473684,97.32,98.87,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('max', 'avg')"
794,0.011764705882352941,97.6502,98.87,"['relu', 'relu', 'relu', 'rrelu', 'leaky_relu']","('avg', 'avg')"
554,0.013333333333333334,97.4002,98.87,"['relu', 'relu', 'relu', 'leaky_relu', 'leaky_relu']","('avg', 'avg')"
868,0.011111111111111113,97.46,98.88,"['relu', 'relu', 'relu', 'relu', 'celu']","('max', 'avg')"
278,0.015384615384615384,97.2978,98.89,"['relu', 'relu', 'relu', 'relu', 'leaky_relu']","('avg', 'avg')"
1018,0.010526315789473684,97.758,98.89,"['relu', 'relu', 'relu', 'rrelu', 'celu']","('max', 'avg')"
803,0.011764705882352941,97.56700000000001,98.92,"['relu', 'relu', 'relu', 'leaky_relu', 'celu']","('max', 'max')"
